Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '氣壓', '波高_YJ')","(6, 6)",-0.344794549429039,-1.5081084077873181,22632.997473020532
"('風速', '氣壓', '波高_YJ')","(12, 12)",-0.2547472290519335,-0.07699184106966261,14831.16032086239
"('風速', '氣壓', '波高_YJ')","(20, 20)",0.06077795653926876,0.31180656162129095,11855.617705426577
"('風速', '氣壓', '降雨_YJ')","(6, 6)",-0.1162173356564955,-0.6352407694655169,18275.10058962748
"('風速', '氣壓', '降雨_YJ')","(12, 12)",-0.2582853172291453,-0.1832832089557872,15545.80707720046
"('風速', '氣壓', '降雨_YJ')","(20, 20)",0.244624852786558,0.48609756861962594,10244.936222093474
"('風速', '氣壓', '暴風半徑_YJ')","(6, 6)",0.21387380692018088,-0.6434864948339194,18321.11888088793
"('風速', '氣壓', '暴風半徑_YJ')","(12, 12)",-0.43280295030275684,-0.23892543420059553,15907.118168156607
"('風速', '氣壓', '暴風半徑_YJ')","(20, 20)",0.40772964640804654,0.4151008605742388,10929.729509526418
"('風速', '氣壓', '潮位_BC2')","(6, 6)",-0.11842743305436709,-0.8026811725359051,19187.941440405717
"('風速', '氣壓', '潮位_BC2')","(12, 12)",-0.33227796917826735,-0.24088660581678423,15919.703369733623
"('風速', '氣壓', '潮位_BC2')","(20, 20)",0.35666322193654354,0.38194289005152093,11235.262567342874
"('風速', '氣壓', '波能_log1p')","(6, 6)",-2.2252927042443678,-2.2037899612625815,25580.02361235925
"('風速', '氣壓', '波能_log1p')","(12, 12)",-0.33853758138593815,-0.10710903117460835,15037.10110039152
"('風速', '氣壓', '波能_log1p')","(20, 20)",-0.2523678661109505,0.20545168365333144,12738.816413092067
"('風速', '氣壓', '功率_log1p')","(6, 6)",-0.23831195934613292,-1.594219059745733,23018.24698939686
"('風速', '氣壓', '功率_log1p')","(12, 12)",-0.22744960627534638,-0.0389523374240619,14566.88645930694
"('風速', '氣壓', '功率_log1p')","(20, 20)",0.08859018274510388,0.34871706559008575,11533.30486707853
