Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', '降雨_YJ', '暴風半徑_YJ', '潮位_BC2', '功率_log1p')","(20, 20)",0.9236672870094662,0.6141868617179346,8876.820322217207
"('風速', '氣壓', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '功率_log1p')","(20, 20)",0.9141463511961525,0.5915395242874244,9133.6411001872
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', '降雨_YJ', '暴風半徑_YJ', '潮位_BC2', '波能_log1p')","(20, 20)",0.9106032564685521,0.5862630205960555,9192.446112212809
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '暴風半徑_YJ')","(20, 20)",0.9102362980394499,0.549523483767676,9591.907915273743
"('氣壓', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '潮位_BC2', '尖峰週期_BC')","(20, 20)",0.902175160569648,0.3100606739028947,11870.646522318037
"('風速', '氣壓', 'wave_dir_sin', 'wave_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '波能_log1p')","(20, 20)",0.9005274852625368,0.28259360139960743,12104.630748731459
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '尖峰週期_BC')","(20, 20)",0.890953531207723,0.5049053982701883,10055.71644450211
"('氣壓', 'wind_dir_sin', 'wind_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '波能_log1p', '功率_log1p')","(20, 20)",0.883480824275613,0.1800464674234603,12940.872059206062
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', 'wave_dir_sin', 'wave_dir_cos', '暴風半徑_YJ', '波能_log1p')","(20, 20)",0.8820870085343175,0.47129600343166245,10391.42768307976
"('風速', '氣壓', 'wind_dir_sin', 'wind_dir_cos', '波高_YJ', '降雨_YJ', '暴風半徑_YJ', '波能_log1p')","(20, 20)",0.8809703432535665,0.46813174802563273,10422.47726877265
