Features,Architecture,R2_train,R2_test,RMSE_test
"('風速', '氣壓', '波高_YJ')","(6, 6)",0.1494107704791665,-0.20542113362959258,11070.358976125994
"('風速', '氣壓', '波高_YJ')","(12, 12)",0.5878616263594814,-0.06800722987987928,10420.280255390775
"('風速', '氣壓', '波高_YJ')","(20, 20)",0.7052951012514255,-0.1011785201566433,10580.8648925179
"('風速', '氣壓', '降雨_YJ')","(6, 6)",0.41033483041101126,-0.14368300323702332,10783.137340551371
"('風速', '氣壓', '降雨_YJ')","(12, 12)",0.5302209069283348,0.06851913953665001,9731.488439588209
"('風速', '氣壓', '降雨_YJ')","(20, 20)",0.45418881830555213,0.03309577438967837,9914.801694564727
"('風速', '氣壓', '暴風半徑_YJ')","(6, 6)",0.6438400400080235,0.22435743445773237,8880.20763169014
"('風速', '氣壓', '暴風半徑_YJ')","(12, 12)",0.5739129995033516,0.09209627173258816,9607.540037563365
"('風速', '氣壓', '暴風半徑_YJ')","(20, 20)",0.7346792531809865,0.3007668519558797,8431.470161785102
"('風速', '氣壓', '潮位_BC2')","(6, 6)",0.4244868666130568,-0.035181714581201895,10258.895340382971
"('風速', '氣壓', '潮位_BC2')","(12, 12)",0.5782201787109951,-0.41185158838242186,11980.827813520069
"('風速', '氣壓', '潮位_BC2')","(20, 20)",0.561376852973788,-0.20035103949819533,11047.05305242027
"('風速', '氣壓', '波能_log1p')","(6, 6)",0.11284133904226379,-0.3008347549319055,11500.146398923762
"('風速', '氣壓', '波能_log1p')","(12, 12)",0.45488765109530804,0.005605538528264398,10054.758676431138
"('風速', '氣壓', '波能_log1p')","(20, 20)",0.5745793445635289,-0.4675529164655545,12214.879531708355
"('風速', '氣壓', '功率_log1p')","(6, 6)",0.15203781547964823,-0.16411810825556872,10879.046314941927
"('風速', '氣壓', '功率_log1p')","(12, 12)",0.5826020707578101,-0.05549765779789628,10359.074112642493
"('風速', '氣壓', '功率_log1p')","(20, 20)",0.7056880696405095,-0.10892659125211779,10618.023985539794
"('風速', '氣壓', '尖峰週期_BC')","(6, 6)",0.28678979095666135,-0.09845543037209192,10567.77415417106
"('風速', '氣壓', '尖峰週期_BC')","(12, 12)",0.5028223639508438,-0.004864569916248396,10107.553998179066
"('風速', '氣壓', '尖峰週期_BC')","(20, 20)",0.6539624346947772,0.2518379308065063,8721.479139499159
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(6, 6)",0.05157260296016408,-0.3964711506338998,11915.3907018504
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(12, 12)",0.22813533169624556,-0.4844954997162989,12285.186275422397
"('風速', 'wind_dir_sin', 'wind_dir_cos')","(20, 20)",0.29522265595888,-0.4254156422181934,12038.24183003265
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(6, 6)",0.2655995055723084,0.3033768269580889,8415.719693006009
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(12, 12)",0.25794835332018096,0.18301966975189476,9113.770822256238
"('風速', 'wave_dir_sin', 'wave_dir_cos')","(20, 20)",0.15524408163907677,0.1337902342604631,9384.342310856495
"('風速', '波高_YJ', '降雨_YJ')","(6, 6)",-0.2647919780117409,-0.4083207498739023,11965.837268579064
"('風速', '波高_YJ', '降雨_YJ')","(12, 12)",0.1220805743995691,-0.19397350334669872,11017.66714466118
"('風速', '波高_YJ', '降雨_YJ')","(20, 20)",0.14093579122117172,-0.16551718859149145,10885.58177265131
"('風速', '波高_YJ', '暴風半徑_YJ')","(6, 6)",-0.0037534469447684238,-0.008926910676910094,10127.96416841818
"('風速', '波高_YJ', '暴風半徑_YJ')","(12, 12)",0.27227681427289363,-0.08352856971541667,10495.726052279659
"('風速', '波高_YJ', '暴風半徑_YJ')","(20, 20)",0.15769530699459922,-0.08008516437690227,10479.035307107524
"('風速', '波高_YJ', '潮位_BC2')","(6, 6)",-0.44398314460741894,-0.3198649091718919,11583.959874373715
"('風速', '波高_YJ', '潮位_BC2')","(12, 12)",0.016125646703923913,-0.7195454030679937,13222.060102128245
"('風速', '波高_YJ', '潮位_BC2')","(20, 20)",0.08538785576817176,-0.22467367126679827,11158.414597375571
"('風速', '波高_YJ', '波能_log1p')","(6, 6)",-0.22282586720652442,-0.6382528128311189,12905.735626943326
"('風速', '波高_YJ', '波能_log1p')","(12, 12)",-0.11857996610889932,-0.14940428538890416,10810.075053203382
"('風速', '波高_YJ', '波能_log1p')","(20, 20)",0.10991359168292403,-0.5568969799788202,12581.205071286407
"('風速', '波高_YJ', '功率_log1p')","(6, 6)",-0.28125381016366946,-0.48494825743159997,12287.059568008888
"('風速', '波高_YJ', '功率_log1p')","(12, 12)",-0.06334930005960415,-0.16528469540036084,10884.496010085599
"('風速', '波高_YJ', '功率_log1p')","(20, 20)",0.11174073840423349,-0.26383912329936576,11335.435258288977
"('風速', '波高_YJ', '尖峰週期_BC')","(6, 6)",-0.1353299840196036,-0.36952027943519994,11799.851369688273
"('風速', '波高_YJ', '尖峰週期_BC')","(12, 12)",0.13894193920808107,-0.21580599351243213,11117.943001646208
"('風速', '波高_YJ', '尖峰週期_BC')","(20, 20)",0.1162093600641334,-0.20347975937791318,11061.440777522133
"('風速', '降雨_YJ', '暴風半徑_YJ')","(6, 6)",0.09566827674011169,-0.033415613644960374,10250.140365872334
"('風速', '降雨_YJ', '暴風半徑_YJ')","(12, 12)",0.3879283043040628,-0.07140925413704768,10436.863411142476
"('風速', '降雨_YJ', '暴風半徑_YJ')","(20, 20)",0.26705733369409634,0.0029867391367650598,10067.989885661127
"('風速', '降雨_YJ', '潮位_BC2')","(6, 6)",-0.07554293736786488,0.08852977297228537,9626.39208850776
"('風速', '降雨_YJ', '潮位_BC2')","(12, 12)",0.29427401873269665,-0.8237958723886907,13616.968018608097
"('風速', '降雨_YJ', '潮位_BC2')","(20, 20)",0.3190974390363972,-0.5397457531519718,12511.714063510892
"('風速', '降雨_YJ', '波能_log1p')","(6, 6)",-0.307536259659019,-0.6370142146786621,12900.85602512525
"('風速', '降雨_YJ', '波能_log1p')","(12, 12)",0.13573642818529397,-0.22838489572077725,11175.308916450675
"('風速', '降雨_YJ', '波能_log1p')","(20, 20)",0.23562606031828903,-0.995319826464673,14242.904495938687
"('風速', '降雨_YJ', '功率_log1p')","(6, 6)",-0.24808848876035383,-0.3957773480696867,11912.430398775285
"('風速', '降雨_YJ', '功率_log1p')","(12, 12)",0.3365264513533779,-0.37574438330896553,11826.634559951843
"('風速', '降雨_YJ', '功率_log1p')","(20, 20)",0.20789242663446517,-0.2454250375287188,11252.553835313289
"('風速', '降雨_YJ', '尖峰週期_BC')","(6, 6)",0.0035022727260628495,0.01603491882076813,10001.891671543804
"('風速', '降雨_YJ', '尖峰週期_BC')","(12, 12)",0.27921472165337846,-0.05188713719234683,10341.341392033919
"('風速', '降雨_YJ', '尖峰週期_BC')","(20, 20)",0.26249279981014906,0.060983980255625236,9770.770307350898
"('風速', '暴風半徑_YJ', '潮位_BC2')","(6, 6)",-0.06681203023833415,0.08364082403839623,9652.174608616317
"('風速', '暴風半徑_YJ', '潮位_BC2')","(12, 12)",0.15275760861594978,-0.45803869598956903,12175.220305205386
