feature	h1_index	h2_index	"|W1[i,j]|"	"|W2[j,k]|"	"|W3[k,0]|"	path_contrib_abs
¼É­·¥b®|_YJ	15	16	0.479706507	0.450923668	0.544838227	0.117854512
¼É­·¥b®|_YJ	20	4	0.407899273	0.460966436	0.522711161	0.098284269
¼É­·¥b®|_YJ	15	19	0.479706507	0.450098861	0.446431716	0.096391461
¼É­·¥b®|_YJ	7	14	0.36128892	0.413323085	0.572824514	0.085539341
¼É­·¥b®|_YJ	8	16	0.369832503	0.410110854	0.544838227	0.08263688
¼É­·¥b®|_YJ	8	14	0.369832503	0.364653379	0.572824514	0.077251499
¼É­·¥b®|_YJ	20	16	0.407899273	0.340315577	0.544838227	0.075631433
¼É­·¥b®|_YJ	15	11	0.479706507	0.268310991	0.584426061	0.075221787
¼É­·¥b®|_YJ	15	17	0.479706507	0.356827969	0.438510316	0.075060994
¼É­·¥b®|_YJ	9	15	0.407255189	0.460239995	0.397304743	0.074468865
¼É­·¥b®|_YJ	2	4	0.385470074	0.353076307	0.522711161	0.071141172
¼É­·¥b®|_YJ	15	1	0.479706507	0.369792514	0.396380165	0.070314621
¼É­·¥b®|_YJ	15	12	0.479706507	0.439714348	0.319460021	0.067384927
¼É­·¥b®|_YJ	9	17	0.407255189	0.370540074	0.438510316	0.066173122
¼É­·¥b®|_YJ	13	19	0.426023379	0.34611818	0.446431716	0.065828337
¼É­·¥b®|_YJ	13	5	0.426023379	0.399227246	0.375866085	0.063927356
¼É­·¥b®|_YJ	9	19	0.407255189	0.345235523	0.446431716	0.062767834
¼É­·¥b®|_YJ	13	15	0.426023379	0.368688847	0.397304743	0.062404683
¼É­·¥b®|_YJ	15	14	0.479706507	0.226453385	0.572824514	0.062226593
¼É­·¥b®|_YJ	13	17	0.426023379	0.321160006	0.438510316	0.059997714
¼É­·¥b®|_YJ	8	5	0.369832503	0.41738553	0.375866085	0.058019717
¼É­·¥b®|_YJ	20	3	0.407899273	0.408202676	0.344841609	0.05741805
¼É­·¥b®|_YJ	8	15	0.369832503	0.389064881	0.397304743	0.057167718
¼É­·¥b®|_YJ	1	4	0.340392218	0.318992067	0.522711161	0.056757241
¼É­·¥b®|_YJ	13	14	0.426023379	0.225611233	0.572824514	0.055057406
¼É­·¥b®|_YJ	7	19	0.36128892	0.331860666	0.446431716	0.053526083
¼É­·¥b®|_YJ	2	16	0.385470074	0.248634266	0.544838227	0.052217878
¼É­·¥b®|_YJ	8	17	0.369832503	0.319138581	0.438510316	0.051756417
¼É­·¥b®|_YJ	18	16	0.258031195	0.367148886	0.544838227	0.051615721
¼É­·¥b®|_YJ	12	1	0.336503548	0.386908444	0.396380165	0.051607137
¼É­·¥b®|_YJ	15	10	0.479706507	0.374215774	0.287009407	0.051522133
¼É­·¥b®|_YJ	15	5	0.479706507	0.281928784	0.375866085	0.050833284
¼É­·¥b®|_YJ	15	13	0.479706507	0.429605662	0.241860853	0.049843805
¼É­·¥b®|_YJ	1	11	0.340392218	0.250089051	0.584426061	0.049751236
¼É­·¥b®|_YJ	20	17	0.407899273	0.263707249	0.438510316	0.047168799
¼É­·¥b®|_YJ	9	12	0.407255189	0.351036562	0.319460021	0.045670471
¼É­·¥b®|_YJ	4	5	0.340686003	0.348334582	0.375866085	0.044605049
¼É­·¥b®|_YJ	7	12	0.36128892	0.385201735	0.319460021	0.04445897
¼É­·¥b®|_YJ	1	19	0.340392218	0.291992989	0.446431716	0.044371804
¼É­·¥b®|_YJ	13	18	0.426023379	0.30980033	0.326526642	0.043095699
¼É­·¥b®|_YJ	18	4	0.258031195	0.317039067	0.522711161	0.042760893
¼É­·¥b®|_YJ	4	17	0.340686003	0.28517042	0.438510316	0.042602843
¼É­·¥b®|_YJ	12	19	0.336503548	0.283183245	0.446431716	0.042541446
¼É­·¥b®|_YJ	9	16	0.407255189	0.191227557	0.544838227	0.042431137
¼É­·¥b®|_YJ	1	3	0.340392218	0.353824591	0.344841609	0.041532426
¼É­·¥b®|_YJ	20	15	0.407899273	0.254758659	0.397304743	0.041286269
¼É­·¥b®|_YJ	11	11	0.152782538	0.455600711	0.584426061	0.040680632
¼É­·¥b®|_YJ	2	7	0.385470074	0.348964228	0.29860869	0.040167428
¼É­·¥b®|_YJ	4	1	0.340686003	0.288008902	0.396380165	0.03889306
¼É­·¥b®|_YJ	4	15	0.340686003	0.282162487	0.397304743	0.038192432
¼É­·¥b®|_YJ	18	11	0.258031195	0.247146255	0.584426061	0.037269694
¼É­·¥b®|_YJ	12	13	0.336503548	0.455742672	0.241860853	0.037091545
¼É­·¥b®|_YJ	18	3	0.258031195	0.413830456	0.344841609	0.036822589
¼É­·¥b®|_YJ	2	14	0.385470074	0.166747908	0.572824514	0.036819057
¼É­·¥b®|_YJ	1	18	0.340392218	0.329188167	0.326526642	0.036588319
¼É­·¥b®|_YJ	16	19	0.184673291	0.442419676	0.446431716	0.036474854
¼É­·¥b®|_YJ	4	8	0.340686003	0.439541342	0.242995258	0.036387467
¼É­·¥b®|_YJ	9	8	0.407255189	0.366038743	0.242995258	0.036223589
¼É­·¥b®|_YJ	13	1	0.426023379	0.212584007	0.396380165	0.03589847
¼É­·¥b®|_YJ	13	3	0.426023379	0.243105676	0.344841609	0.035714798
¼É­·¥b®|_YJ	20	18	0.407899273	0.266060836	0.326526642	0.035436637
¼É­·¥b®|_YJ	2	10	0.385470074	0.316450313	0.287009407	0.035010017
¼É­·¥b®|_YJ	18	17	0.258031195	0.306470669	0.438510316	0.034676954
¼É­·¥b®|_YJ	12	12	0.336503548	0.31894031	0.319460021	0.034285902
¼É­·¥b®|_YJ	6	11	0.146019007	0.401620006	0.584426061	0.034273172
¼É­·¥b®|_YJ	12	17	0.336503548	0.231553525	0.438510316	0.034168102
¼É­·¥b®|_YJ	12	8	0.336503548	0.415624491	0.242995258	0.033985102
¼É­·¥b®|_YJ	13	16	0.426023379	0.146361064	0.544838227	0.033972426
¼É­·¥b®|_YJ	13	10	0.426023379	0.276736191	0.287009407	0.033837286
¼É­·¥b®|_YJ	1	17	0.340392218	0.224340289	0.438510316	0.033486265
¼É­·¥b®|_YJ	4	3	0.340686003	0.284720827	0.344841609	0.033449774
¼É­·¥b®|_YJ	7	1	0.36128892	0.228881107	0.396380165	0.032777551
¼É­·¥b®|_YJ	12	5	0.336503548	0.258377518	0.375866085	0.032679659
¼É­·¥b®|_YJ	16	14	0.184673291	0.30885904	0.572824514	0.032672773
¼É­·¥b®|_YJ	2	18	0.385470074	0.258721571	0.326526642	0.032564314
¼É­·¥b®|_YJ	13	8	0.426023379	0.314138773	0.242995258	0.032520168
¼É­·¥b®|_YJ	20	1	0.407899273	0.200525631	0.396380165	0.032421622
¼É­·¥b®|_YJ	2	19	0.385470074	0.187873052	0.446431716	0.032330335
¼É­·¥b®|_YJ	7	4	0.36128892	0.170069999	0.522711161	0.032117677
¼É­·¥b®|_YJ	4	10	0.340686003	0.32720564	0.287009407	0.031994196
¼É­·¥b®|_YJ	13	11	0.426023379	0.128242499	0.584426061	0.03192971
¼É­·¥b®|_YJ	7	5	0.36128892	0.233430389	0.375866085	0.031698972
¼É­·¥b®|_YJ	7	13	0.36128892	0.356688424	0.241860853	0.031168022
¼É­·¥b®|_YJ	9	14	0.407255189	0.133077798	0.572824514	0.031045155
¼É­·¥b®|_YJ	14	14	0.146326316	0.368768468	0.572824514	0.030909915
¼É­·¥b®|_YJ	12	4	0.336503548	0.175545099	0.522711161	0.030877358
¼É­·¥b®|_YJ	7	16	0.36128892	0.155996931	0.544838227	0.030707062
¼É­·¥b®|_YJ	2	11	0.385470074	0.1344029	0.584426061	0.030278118
¼É­·¥b®|_YJ	2	2	0.385470074	0.396651432	0.196884487	0.030103098
¼É­·¥b®|_YJ	6	4	0.146019007	0.394113582	0.522711161	0.030081021
